pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
1335.355580,863.363590,1275.598905,1036.009155,1351.241037,796.701667,1182.122370,1288.562892,1490.133540,1300.879712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1431.560000,1043.180000
1372.903857,879.102198,1294.538586,1038.866667,1388.805181,805.765238,1186.092961,1284.929726,1516.109245,1311.947489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1463.230000,1051.230000
1403.541999,869.513183,1319.967847,1026.491625,1421.141386,797.012401,1204.556208,1269.075912,1522.584127,1307.892120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1480.570000,1044.080000
1430.234320,870.384912,1340.786901,1023.585387,1451.292714,798.653558,1223.019456,1266.213418,1527.678892,1313.472078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1499.080000,1046.670000
1449.048572,863.525582,1366.543145,1022.789229,1478.385211,796.191822,1250.813591,1264.121596,1530.125460,1313.130304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1512.390000,1046.040000
1471.030946,862.952252,1393.889280,1024.779623,1499.797023,795.097717,1281.680023,1268.233931,1531.505985,1313.292206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1523.978490,1047.062390
1488.662641,862.092256,1423.143286,1028.760411,1522.110000,795.310000,1316.661698,1276.283799,1533.412369,1314.162840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1535.180000,1047.470000
1505.378405,858.938939,1452.715270,1032.343121,1539.721002,795.799386,1359.486212,1285.906509,1535.960000,1315.290000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1545.400000,1047.500000
1522.094168,857.218949,1488.328842,1039.508539,1559.401133,796.746989,1404.872877,1295.987444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1539.954847,855.212293,1527.925006,1043.840180,1578.340000,797.840000,1458.773519,1303.031078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1558.044509,854.065632,1564.627725,1048.160109,1596.650000,798.960000,1516.356883,1312.042194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1575.905188,852.918971,1604.310578,1050.909154,1615.420000,800.810000,1580.109893,1318.478706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1595.631521,853.743723,1643.424503,1055.213145,1635.245332,804.138288,1645.853267,1323.704165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1615.263732,857.084377,1684.275359,1057.796045,1660.223960,807.170616,1701.702622,1327.320619,1550.676975,1312.913080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1643.854332,860.902268,1726.178330,1062.445585,1686.750452,812.332259,1760.099407,1327.816403,1553.267331,1311.359612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1626.569689,1055.709074
1673.588555,863.288450,1766.856319,1067.140305,1717.336931,819.231810,1824.221665,1327.816403,1556.240000,1309.990000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1645.480000,1058.420000
1688.074459,862.811214,1785.940544,1064.992742,1744.748679,817.364223,1827.546523,1328.411033,1559.788514,1298.599978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1660.062233,1052.466078
1715.712039,858.993323,1797.948596,1064.187405,1768.617413,816.430429,1826.953531,1328.700240,1576.860000,1292.880000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1681.700000,1048.100000
1737.250290,857.800232,1806.740205,1064.187405,1788.383708,815.029739,1824.000000,1330.000000,1600.452018,1291.457238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1702.940548,1047.706611
1749.258342,857.800232,1812.744231,1062.576733,1803.674615,813.395600,1819.690000,1329.750000,1625.568751,1293.235364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1723.960000,1048.170000
1765.841991,859.873539,1820.678123,1063.918960,1818.430000,813.140000,1820.300000,1330.650000,1660.037458,1301.533288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1782.342373,863.150839,1827.754296,1063.113624,1830.380000,812.960000,1820.950000,1331.020000,1688.209014,1309.286496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
